City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,cumana,10.4635,-64.1775,297.46,84,50,7.23,VE,1676241169
272,tual,-5.6667,132.75,301.23,79,100,10.12,ID,1676241170
273,tripoli,32.8752,13.1875,286.46,69,99,4.2,LY,1676241170
274,ankazoabo,-22.2833,44.5167,295.0,93,74,1.02,MG,1676241170
275,riyadh,24.6877,46.7219,290.23,31,95,1.78,SA,1676240919
276,bakchar,57.0186,82.0711,261.17,94,100,0.93,RU,1676241171
277,presidente epitacio,-21.7633,-52.1156,297.1,86,89,3.12,BR,1676241171
278,verkhnevilyuysk,63.4453,120.3167,225.96,100,61,1.18,RU,1676241171
279,yumen,40.2833,97.2,268.29,63,100,1.87,CN,1676241172
280,saint-pierre,-21.3393,55.4781,296.97,69,0,2.57,RE,1676241172
281,avarua,-21.2078,-159.775,302.18,74,20,3.6,CK,1676241165
282,cherskiy,68.75,161.3,230.49,100,84,1.53,RU,1676241172
283,balogo,10.8868,124.7105,297.71,88,54,1.53,PH,1676241173
284,miracema do tocantins,-9.5618,-48.3967,299.94,65,55,1.12,BR,1676241173
285,coihaique,-45.5752,-72.0662,286.12,44,40,3.6,CL,1676240915
286,stornoway,58.2093,-6.3865,281.44,84,100,6.69,GB,1676241173
287,phek,25.6667,94.5,275.99,92,30,0.55,IN,1676241173
288,tura,25.5198,90.2201,286.15,49,0,0.11,IN,1676241174
289,nesbyen,60.5681,9.1027,271.23,94,90,2.09,NO,1676241174
290,boldumsaz,42.1282,59.671,268.18,42,4,3.54,TM,1676241174
291,pemangkat,1.1667,108.9667,297.61,86,100,1.24,ID,1676241175
292,sciacca,37.5082,13.0881,283.17,77,98,3.45,IT,1676241175
293,kavieng,-2.5744,150.7967,300.75,79,100,5.43,PG,1676241175
294,mananjary,-21.2167,48.3333,297.31,83,57,0.25,MG,1676241175
295,sawakin,19.1059,37.3321,296.52,77,79,8.35,SD,1676241176
296,azangaro,-14.9167,-70.2167,284.83,65,82,1.42,PE,1676241176
297,kaka,37.3482,59.6143,276.25,82,100,1.74,TM,1676241176
298,iqaluit,63.7506,-68.5145,242.42,74,20,6.71,CA,1676241177
299,balao,-2.9167,-79.8167,300.14,75,98,1.6,EC,1676241177
300,faanui,-16.4833,-151.75,300.91,75,67,4.55,PF,1676241177
301,amarillo,35.222,-101.8313,295.39,15,0,6.17,US,1676241039
302,puerto escondido,15.85,-97.0667,301.61,69,40,2.57,MX,1676241178
303,haines junction,60.7522,-137.5108,270.12,74,100,1.03,CA,1676241178
304,pirgos,35.1167,25.7178,283.5,55,10,6.18,GR,1676241178
305,leningradskiy,69.3833,178.4167,244.72,94,100,4.01,RU,1676241178
306,jacareacanga,-6.2222,-57.7528,297.42,98,83,0.84,BR,1676241179
